CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,BalanceSalaryRatio,ProductDensity,EngagementProductInteraction,AgeTenureInteraction,IsZeroBalance,ProductsPerCreditCard,Exited
706.0,Spain,Female,48,9.0,49878.05,2,1,0,126746.59,0.39352266974070277,0.2,0,480.0,0,1.0,0
772.0,France,Female,52,1.0,0.0,2,0,0,58333.36,0.0,1.0,0,104.0,1,2.0,1
691.0,Germany,Male,39,7.0,49563.12,2,1,1,96372.21,0.5142831706031168,0.25,2,312.0,0,1.0,0
733.0,Spain,Female,49,10.0,113606.13,1,0,0,144513.83,0.7861209122966827,0.09090909090909091,0,539.0,0,1.0,0
539.0,France,Female,82,2.0,0.0,2,1,1,194685.49,0.0,0.6666666666666666,2,246.0,1,1.0,0
648.0,Spain,Male,61,5.0,79401.99,1,1,1,186125.01,0.42660340701441996,0.16666666666666666,1,366.0,0,0.5,0
767.0,Spain,Male,55,5.0,94618.75,1,1,1,156942.83,0.602882891286647,0.16666666666666666,1,330.0,0,0.5,0
551.0,Germany,Female,52,4.0,0.0,1,1,0,46118.34,0.0,0.2,0,260.0,1,0.5,0
555.0,France,Male,49,3.0,68083.0,2,1,0,159161.84,0.4277568809402999,0.5,0,196.0,0,1.0,0
664.0,France,Female,32,7.0,0.0,1,1,0,159314.16,0.0,0.125,0,256.0,1,0.5,0
839.0,France,Female,80,0.0,0.0,4,1,0,86197.52,0.0,4.0,0,80.0,1,2.0,0
688.0,Spain,Male,43,7.0,51264.74,1,1,1,104352.74,0.49125924954869843,0.125,1,344.0,0,0.5,0
417.0,Germany,Male,44,9.0,150586.22,1,1,1,30618.21,4.918030870162881,0.1,1,440.0,0,0.5,0
643.0,France,Male,56,8.0,0.0,1,0,0,67362.15,0.0,0.1111111111111111,0,504.0,1,1.0,0
587.0,Spain,Female,43,5.0,42209.19,2,1,1,48973.59,0.8618589762568712,0.3333333333333333,2,258.0,0,1.0,0
850.0,France,Female,78,7.0,152200.52,2,1,0,175591.64,0.8667818878968958,0.25,0,624.0,0,1.0,1
632.0,France,Male,65,7.0,38869.85,1,1,0,82243.16,0.4726153200421768,0.125,0,520.0,0,0.5,0
518.0,France,Male,79,7.0,54909.93,1,1,1,123979.51,0.442891628692284,0.125,1,632.0,0,0.5,0
675.0,Germany,Female,90,6.0,55519.36,2,1,0,157448.98,0.3526158593351361,0.2857142857142857,0,630.0,0,1.0,1
538.0,France,Male,52,9.0,0.0,1,1,1,44454.41,0.0,0.1,1,520.0,1,0.5,0
577.0,France,Male,66,7.0,0.0,3,1,0,28984.25,0.0,0.375,0,528.0,1,1.5,0
694.0,Germany,Female,53,8.0,199365.21,1,1,1,196859.5,1.012723273587134,0.1111111111111111,1,477.0,0,0.5,1
451.0,Spain,Male,46,5.0,107464.88,1,1,0,15396.45,6.979394640021562,0.16666666666666666,0,276.0,0,0.5,0
721.0,France,Male,86,4.0,0.0,1,1,0,141920.36,0.0,0.2,0,430.0,1,0.5,0
760.0,Spain,Female,53,10.0,115218.47,1,0,1,85712.7,1.3442246688685706,0.09090909090909091,1,583.0,0,1.0,0
467.0,Germany,Female,39,4.0,29376.84,1,0,0,136549.72,0.21513500624529844,0.2,0,195.0,0,1.0,0
493.0,Spain,Female,60,4.0,0.0,1,1,0,139488.34,0.0,0.2,0,300.0,1,0.5,0
620.0,Germany,Female,56,6.0,65087.26,2,1,1,70476.51,0.923518154940491,0.2857142857142857,2,392.0,0,1.0,0
603.0,Spain,Female,48,3.0,82673.46,2,1,1,158812.23,0.5205703580236987,0.5,2,192.0,0,1.0,0
500.0,France,Female,67,6.0,0.0,2,1,0,17229.55,0.0,0.2857142857142857,0,469.0,1,1.0,0
539.0,France,Female,63,6.0,0.0,1,0,0,122422.63,0.0,0.14285714285714285,0,441.0,1,1.0,0
501.0,France,Male,57,1.0,115539.0,2,0,1,49102.97,2.3529462078117103,1.0,2,114.0,0,2.0,0
534.0,Spain,Female,53,4.0,0.0,1,0,1,92839.12,0.0,0.2,1,265.0,1,1.0,0
657.0,France,Female,71,2.0,0.0,1,0,1,154902.23,0.0,0.3333333333333333,1,213.0,1,1.0,0
591.0,France,Female,61,10.0,0.0,1,1,1,116165.62,0.0,0.09090909090909091,1,671.0,1,0.5,0
737.0,France,Male,73,7.0,50180.55,1,1,1,56722.79,0.8846473410891621,0.125,1,584.0,0,0.5,0
633.0,France,Female,48,2.0,0.0,2,1,1,189982.65,0.0,0.6666666666666666,2,144.0,1,1.0,0
733.0,Germany,Female,41,7.0,116232.22,2,1,0,111742.04,1.040174135230257,0.25,0,328.0,0,1.0,0
609.0,France,Male,60,9.0,130725.57,2,1,0,71335.14,1.832529346275254,0.2,0,600.0,0,1.0,0
691.0,France,Male,32,3.0,87266.94,2,1,0,80398.1,1.0854218517371463,0.5,0,128.0,0,1.0,0
493.0,France,Male,55,0.0,251528.09,2,0,0,8762.31,28.70240696723042,2.0,0,55.0,0,2.0,0
506.0,Germany,Male,87,3.0,93424.85,2,0,0,131989.51,0.7078149027532358,0.5,0,348.0,0,2.0,0
617.0,France,Female,57,5.0,68297.45,1,0,0,140310.64,0.48675541102648356,0.16666666666666666,0,342.0,0,1.0,1
667.0,France,Female,53,7.0,170991.91,2,1,1,742.92,229.8525513496075,0.25,2,424.0,0,1.0,0
752.0,France,Male,44,7.0,152863.6,2,1,0,117581.86,1.300050024297759,0.25,0,352.0,0,1.0,0
451.0,France,Female,55,0.0,33130.0,1,1,1,19719.26,1.6799981338988432,1.0,1,55.0,0,0.5,0
653.0,Germany,Male,56,7.0,0.0,1,0,1,196456.65,0.0,0.125,1,448.0,1,1.0,0
617.0,Germany,Female,60,6.0,0.0,2,1,1,37773.63,0.0,0.2857142857142857,2,420.0,1,1.0,0
850.0,Spain,Male,57,7.0,53486.45,2,1,0,183910.51,0.2908270939649182,0.25,0,456.0,0,1.0,0
636.0,Spain,Female,51,2.0,66344.19,1,1,1,173849.37,0.381616616634178,0.3333333333333333,1,153.0,0,0.5,1
632.0,Spain,Male,45,4.0,65794.32,1,0,0,182929.91,0.35966759253534575,0.2,0,225.0,0,1.0,0
548.0,France,Female,52,9.0,94061.87,1,1,0,5627.44,16.71188997306536,0.1,0,520.0,0,0.5,0
652.0,France,Male,65,8.0,132961.38,2,1,0,161703.68,0.8222481872509813,0.2222222222222222,0,585.0,0,1.0,0
766.0,Germany,Male,46,1.0,30279.07,2,1,1,97406.5,0.310849472576547,1.0,2,92.0,0,1.0,0
350.0,France,Male,54,4.0,67379.02,1,1,0,105296.12,0.6398942345241732,0.2,0,270.0,0,0.5,0
640.0,France,Female,47,7.0,0.0,1,1,1,142790.7,0.0,0.125,1,376.0,1,0.5,0
529.0,France,Male,44,8.0,69300.62,1,1,0,21515.03,3.220883220556952,0.1111111111111111,0,396.0,0,0.5,0
681.0,Germany,Male,58,10.0,0.0,1,1,0,127090.98,0.0,0.09090909090909091,0,638.0,1,0.5,0
669.0,France,Female,58,0.0,82508.88,2,1,1,38011.21,2.170588871312665,2.0,2,58.0,0,1.0,0
471.0,France,Male,51,7.0,0.0,2,0,1,136650.48,0.0,0.25,2,408.0,1,2.0,0
714.0,France,Female,49,5.0,0.0,1,1,0,196833.57,0.0,0.16666666666666666,0,294.0,1,0.5,0
637.0,Spain,Male,62,5.0,0.0,1,1,0,10341.18,0.0,0.16666666666666666,0,372.0,1,0.5,0
620.0,France,Female,54,7.0,106268.28,1,1,1,68289.38,1.5561237175719331,0.125,1,432.0,0,0.5,1
714.0,France,Male,49,1.0,60803.53,1,0,0,118340.16,0.5137986648094374,0.5,0,98.0,0,1.0,1
653.0,Spain,Female,44,0.0,0.0,4,1,0,29493.4,0.0,4.0,0,44.0,1,2.0,1
725.0,France,Female,59,0.0,153030.46,2,1,0,135965.06,1.1255048502545415,2.0,0,59.0,0,1.0,0
742.0,France,Female,81,2.0,70202.83,1,0,0,127855.74,0.5490741434514911,0.3333333333333333,0,243.0,0,1.0,0
515.0,Spain,Female,61,10.0,96772.87,2,1,0,96434.49,1.0034985045443332,0.18181818181818182,0,671.0,0,1.0,0
739.0,Spain,Male,55,0.0,0.0,1,0,0,77759.84,0.0,1.0,0,55.0,1,1.0,0
715.0,Spain,Male,56,4.0,0.0,1,1,1,6646.76,0.0,0.2,1,280.0,1,0.5,0
690.0,Spain,Female,78,2.0,0.0,1,0,1,188196.98,0.0,0.3333333333333333,1,234.0,1,1.0,0
746.0,France,Female,48,6.0,70063.05,2,1,0,139371.88,0.5027021756312993,0.2857142857142857,0,336.0,0,1.0,0
569.0,France,Male,62,7.0,148688.53,1,1,1,130372.97,1.1404771213149374,0.125,1,496.0,0,0.5,0
562.0,France,Female,62,10.0,95085.79,1,1,1,46844.44,2.02977685768348,0.09090909090909091,1,682.0,0,0.5,0
567.0,Germany,Male,62,5.0,58067.38,1,1,1,40226.36,1.4434797610382584,0.16666666666666666,1,372.0,0,0.5,0
522.0,France,Female,41,10.0,56489.36,1,1,0,103012.21,0.5483700585585091,0.09090909090909091,0,451.0,0,0.5,0
663.0,Spain,Female,71,6.0,110045.06,1,1,0,54911.04,2.0040242540615862,0.14285714285714285,0,497.0,0,0.5,1
628.0,France,Female,42,3.0,116543.69,2,1,0,76745.58,1.5185522273435508,0.5,0,168.0,0,1.0,1
646.0,France,Male,40,1.0,123401.02,1,0,1,173705.52,0.710399471476373,0.5,1,80.0,0,1.0,1
590.0,Spain,Male,72,4.0,43205.36,2,1,0,54256.39,0.7963036924555347,0.4,0,360.0,0,1.0,0
593.0,France,Male,85,10.0,0.0,2,0,0,108619.41,0.0,0.18181818181818182,0,935.0,1,2.0,0
624.0,France,Male,57,1.0,81149.49,1,1,0,181638.86,0.4467603641623596,0.5,0,114.0,0,0.5,0
741.0,Spain,Female,79,8.0,108665.73,1,1,0,54610.23,1.9898055766185818,0.1111111111111111,0,711.0,0,0.5,0
540.0,France,Male,53,8.0,96875.46,1,1,1,69769.96,1.3884782436704324,0.1111111111111111,1,477.0,0,0.5,0
659.0,Spain,Male,42,7.0,60273.22,2,1,0,66261.59,0.9096115923026855,0.25,0,336.0,0,1.0,0
850.0,Spain,Male,53,3.0,0.0,2,0,0,186689.26,0.0,0.5,0,212.0,1,2.0,0
732.0,Germany,Female,47,9.0,0.0,1,0,0,191452.89,0.0,0.1,0,470.0,1,1.0,0
644.0,France,Female,46,10.0,161296.94,2,0,0,62471.6,2.5818829374797914,0.18181818181818182,0,506.0,0,2.0,0
730.0,France,Female,53,4.0,0.0,1,0,1,59941.77,0.0,0.2,1,265.0,1,1.0,0
664.0,France,Male,55,4.0,189319.81,1,1,0,93692.71,2.0206245435259205,0.2,0,275.0,0,0.5,0
796.0,France,Male,66,0.0,82564.14,1,1,1,11041.08,7.4772271166302,1.0,1,66.0,0,0.5,0
703.0,Germany,Female,45,1.0,98497.89,2,1,0,68772.96,1.4321974479875812,1.0,0,90.0,0,1.0,1
511.0,France,Female,49,6.0,77388.38,2,1,1,43846.02,1.7649632745851374,0.2857142857142857,2,343.0,0,1.0,0
673.0,Germany,Male,64,9.0,0.0,2,1,0,66913.38,0.0,0.2,0,640.0,1,1.0,0
562.0,Spain,Male,55,2.0,0.0,2,1,1,138788.4,0.0,0.6666666666666666,2,165.0,1,1.0,0
737.0,France,Male,80,0.0,108355.49,1,1,1,199603.88,0.5428499042708775,1.0,1,80.0,0,0.5,0
612.0,Spain,Male,54,6.0,104217.56,1,1,0,28953.4,3.5993686624485397,0.14285714285714285,0,378.0,0,0.5,1
580.0,Germany,Female,59,1.0,102913.15,2,1,0,152022.99,0.6769533545330576,1.0,0,118.0,0,1.0,1
473.0,France,Female,50,7.0,93158.26,1,0,1,29765.8,3.129602778934921,0.125,1,400.0,0,1.0,0
727.0,Germany,Female,64,10.0,0.0,1,0,1,56059.84,0.0,0.09090909090909091,1,704.0,1,1.0,0
752.0,Germany,Male,71,0.0,0.0,1,1,0,178359.98,0.0,1.0,0,71.0,1,0.5,1
764.0,France,Male,72,7.0,102149.93,1,1,0,177381.58,0.5758735158773765,0.125,0,576.0,0,0.5,0
800.0,France,Male,51,8.0,0.0,2,0,1,13292.32,0.0,0.2222222222222222,2,459.0,1,2.0,0
590.0,France,Female,66,8.0,101796.45,1,1,1,13080.96,7.781437185253586,0.1111111111111111,1,594.0,0,0.5,0
560.0,Spain,Female,58,5.0,0.0,1,0,0,20705.21,0.0,0.16666666666666666,0,348.0,1,1.0,0
632.0,France,Female,39,3.0,153588.72,1,1,1,169799.03,0.9045270486701328,0.25,1,156.0,0,0.5,0
724.0,France,Male,53,4.0,0.0,1,0,0,77744.85,0.0,0.2,0,265.0,1,1.0,0
589.0,Spain,Male,60,9.0,151374.73,2,1,0,172950.63,0.8752431532446384,0.2,0,600.0,0,1.0,0
514.0,Germany,Female,38,4.0,86411.15,1,0,1,99915.38,0.8648346747550301,0.2,1,190.0,0,1.0,1
674.0,Germany,Male,72,0.0,0.0,1,0,0,2518.73,0.0,1.0,0,72.0,1,1.0,0
697.0,Spain,Female,41,10.0,226288.36,1,1,0,113762.64,1.9891097014828287,0.09090909090909091,0,451.0,0,0.5,0
651.0,Spain,Female,62,4.0,60021.51,1,1,0,2095.36,28.63129901352821,0.2,0,310.0,0,0.5,0
791.0,France,Female,46,7.0,0.0,2,1,1,43583.48,0.0,0.25,2,368.0,1,1.0,0
551.0,Spain,Male,84,2.0,64232.72,2,0,0,31299.28,2.0521452204261434,0.6666666666666666,0,252.0,0,2.0,0
657.0,Germany,Male,62,9.0,72648.7,1,1,1,87829.59,0.8271457586701854,0.1,1,620.0,0,0.5,0
795.0,Spain,Male,39,7.0,0.0,2,1,0,76378.75,0.0,0.25,0,312.0,1,1.0,0
590.0,Germany,Female,41,8.0,86607.9,1,0,1,67604.86,1.2810709012502761,0.1111111111111111,1,369.0,0,1.0,0
777.0,France,Female,90,4.0,0.0,1,1,0,198604.95,0.0,0.2,0,450.0,1,0.5,1
815.0,France,Female,83,5.0,0.0,1,1,0,46966.11,0.0,0.16666666666666666,0,498.0,1,0.5,0
557.0,Germany,Male,88,5.0,0.0,1,0,0,103146.9,0.0,0.16666666666666666,0,528.0,1,1.0,0
683.0,France,Male,42,8.0,45067.12,2,1,0,198520.83,0.22701342215110554,0.2222222222222222,0,378.0,0,1.0,0
789.0,Germany,Male,56,2.0,126095.73,2,1,0,53964.09,2.33661669053086,0.6666666666666666,0,168.0,0,1.0,0
611.0,France,Female,92,1.0,0.0,2,0,0,29029.38,0.0,1.0,0,184.0,1,2.0,0
688.0,France,Female,67,8.0,114628.34,2,0,1,198901.33,0.5763046616899863,0.2222222222222222,2,603.0,0,2.0,0
561.0,Germany,Male,61,4.0,0.0,1,1,1,155912.8,0.0,0.2,1,305.0,1,0.5,0
639.0,Spain,Male,66,2.0,138657.7,2,1,0,138090.79,1.004098071290118,0.6666666666666666,0,198.0,0,1.0,1
710.0,Spain,Female,79,8.0,61232.53,1,1,1,127633.12,0.47975047738018645,0.1111111111111111,1,711.0,0,0.5,0
576.0,Germany,Male,45,5.0,203150.72,2,0,1,69191.71,2.93601334591462,0.3333333333333333,2,270.0,0,2.0,0
751.0,Germany,Male,62,6.0,47420.95,2,1,1,3528.4,13.435980619935398,0.2857142857142857,2,434.0,0,1.0,0
563.0,France,Female,46,3.0,60932.65,1,1,1,60164.31,1.0127538609873366,0.25,1,184.0,0,0.5,0
690.0,Germany,Male,87,2.0,0.0,1,1,0,151426.55,0.0,0.3333333333333333,0,261.0,1,0.5,0
829.0,France,Male,86,6.0,62640.23,3,0,0,104710.52,0.5982171780144152,0.42857142857142855,0,602.0,0,3.0,1
622.0,France,Female,56,1.0,49164.2,2,1,1,4332.4,11.345410070614298,1.0,2,112.0,0,1.0,0
578.0,Spain,Female,75,8.0,116549.02,1,0,0,198581.15,0.5869058220993176,0.1111111111111111,0,675.0,0,1.0,0
546.0,Spain,Female,58,7.0,76208.97,1,1,1,34042.16,2.23859859073012,0.125,1,464.0,0,0.5,0
674.0,Spain,Male,68,3.0,87372.21,2,1,1,47518.16,1.8386732846287688,0.5,2,272.0,0,1.0,0
764.0,France,Male,55,9.0,0.0,1,1,1,167515.35,0.0,0.1,1,550.0,1,0.5,0
508.0,Germany,Male,50,0.0,97763.26,1,0,1,108521.2,0.9008595476317288,1.0,1,50.0,0,1.0,0
404.0,France,Male,74,4.0,105890.86,1,0,1,49634.0,2.1333909539639366,0.2,1,370.0,0,1.0,0
595.0,France,Female,80,9.0,0.0,2,0,0,143433.11,0.0,0.2,0,800.0,1,2.0,1
622.0,France,Female,39,8.0,0.0,2,1,0,119386.07,0.0,0.2222222222222222,0,351.0,1,1.0,0
581.0,France,Female,51,7.0,81366.84,1,1,1,83559.88,0.9737432157248702,0.125,1,408.0,0,0.5,0
525.0,Germany,Male,49,3.0,103044.11,1,1,1,150129.73,0.6863625454961818,0.25,1,196.0,0,0.5,0
722.0,France,Male,55,4.0,0.0,1,1,0,195121.52,0.0,0.2,0,275.0,1,0.5,0
587.0,France,Male,65,7.0,94451.37,2,1,1,168673.74,0.5599615567808197,0.25,2,520.0,0,1.0,0
790.0,Spain,Male,78,0.0,43450.4,1,1,0,109282.87,0.39759206916812156,1.0,0,78.0,0,0.5,1
786.0,France,Male,47,4.0,0.0,2,1,0,48664.76,0.0,0.4,0,235.0,1,1.0,0
802.0,France,Male,52,7.0,0.0,2,1,0,156840.93,0.0,0.25,0,416.0,1,1.0,0
632.0,France,Male,41,3.0,146551.73,1,1,1,48718.3,3.0080836547323133,0.25,1,164.0,0,0.5,0
683.0,Spain,Male,67,5.0,226047.63,1,1,1,127666.28,1.7705995616104613,0.16666666666666666,1,402.0,0,0.5,1
632.0,France,Male,68,8.0,79049.29,1,0,0,131056.8,0.603163565999124,0.1111111111111111,0,612.0,0,1.0,0
648.0,France,Female,46,6.0,109435.67,1,0,0,84947.1,1.2882650700839688,0.14285714285714285,0,322.0,0,1.0,0
480.0,Germany,Male,68,6.0,97787.45,2,1,1,29031.7,3.3681831176569865,0.2857142857142857,2,476.0,0,1.0,0
782.0,Germany,Female,48,5.0,129962.66,2,0,0,163798.31,0.7934261749942659,0.3333333333333333,0,288.0,0,2.0,0
554.0,Spain,Female,51,10.0,0.0,1,0,1,33714.7,0.0,0.09090909090909091,1,561.0,1,1.0,0
659.0,Spain,Female,49,8.0,60706.69,2,1,0,55861.27,1.086720786677663,0.2222222222222222,0,441.0,0,1.0,1
